	Genus	Species	Name_Change	Author	Year
118	Aceratherium	bavaricum	0	Stromer	1902
119	Aceratherium	belaevi	0	Korotkevich	1974
120	Aceratherium	belvederense	0	Wang	1929
121	Aceratherium	bitetradactylumincisivum	0	Santafe-Llopis	1978
122	Aceratherium	blanfordi	0	Lydekker	1884
123	Aceratherium	blunfordi	0	Lydekker	1884
124	Aceratherium	boschi	0	von_Koenigswald	1933
125	Aceratherium	bugtiense	NA	NA	NA
126	Aceratherium	cadibonense	0	Roger	1898
127	Aceratherium	campbelli	0	Hamilton	1973
128	Aceratherium	egregius	NA	NA	NA
129	Aceratherium	exiguun	0	Lambe	1908
130	Aceratherium	exiquum	NA	NA	NA
131	Aceratherium	filholi	NA	NA	NA
132	Aceratherium	gaudryi	0	Rames	1887
133	Aceratherium	habereri	NA	NA	NA
134	Aceratherium	huadeensis	0	Qiu	1979
135	Aceratherium	incisium	0	Pavlow	1914
136	Aceratherium	incisivum	0	Kaup	1832
137	Aceratherium	incissivum	NA	NA	NA
138	Aceratherium	kiliasi	0	Geraads_&amp;_Koufous	1990
139	Aceratherium	leakei	NA	NA	NA
140	Aceratherium	leakeyi	1	Deraniyagala	1965
141	Aceratherium	lehriensis	0	Sarwar_&amp;_Nadeem	1989
142	Aceratherium	lemanense	NA	NA	NA
143	Aceratherium	lydekkeri	NA	NA	NA
144	Aceratherium	mayeti	0	Klahn	1925
145	Aceratherium	megalodus	NA	NA	NA
146	Aceratherium	minus	NA	NA	NA
147	Aceratherium	minutum	NA	NA	NA
148	Aceratherium	minutus	1	Cuv.	NA
149	Aceratherium	mite	NA	NA	NA
150	Aceratherium	perimense	1	Falconer_&amp;_Cautley	1847
151	Aceratherium	persiae	NA	NA	NA
152	Aceratherium	persistens	0	Osborn	1904
153	Aceratherium	platycephalum	0	Osb._&amp;_Wortm.	NA
154	Aceratherium	platycephulum	NA	NA	NA
155	Aceratherium	platydon	NA	NA	NA
156	Aceratherium	platyodon	0	Mermier	1895
157	Aceratherium	porpani	0	"Deng,_Hanta_&amp;_Jintasakul"	2013
158	Aceratherium	pumilum	0	Cope	1885
159	Aceratherium	quadriplicatum	NA	NA	NA
160	Aceratherium	samium	NA	NA	NA
161	Aceratherium	schlosseri	NA	NA	NA
162	Aceratherium	silesiacum	0	"Glazek,_Oberc_&amp;_Sulimski"	1971
163	Aceratherium	simorrense	1	Lartet	1851
164	Aceratherium	sp.	NA	NA	NA
165	Aceratherium	temanense	NA	NA	NA
166	Aceratherium	tetradactylum	1	Lartet	1837
167	Aceratherium	tridactylum	NA	NA	NA
168	Aceratherium	tridactylus	0	Osborn	1893
169	Aceratherium	trigonodum	NA	NA	NA
170	Aceratherium	zernoui	NA	NA	NA
171	Aceratherium	zernovi	NA	NA	NA
172	Aceratherium	zernowi	0	Borissiak	1914
173	Aceratierium	gobiense	0	Belyaeva	1960
174	Aceratierium	tridactylum	NA	NA	NA
175	Acerodon	celebensis	NA	NA	NA
176	Acerodon	gilvus	NA	NA	NA
177	Acerodon	humilis	NA	NA	NA
178	Acerodon	jubatus	NA	NA	NA
179	Acerodon	leucotis	1	Sanborn	1950
